1.500000000000000000e+00 9.864739583333332895e-01 6.827378718613284867e-05
1.558620689655172420e+00 9.826786458333333085e-01 9.829612054505184107e-05
1.617241379310344840e+00 9.778937500000000060e-01 1.324444695574016496e-04
1.675862068965517260e+00 9.728911458333332485e-01 1.688833054010971683e-04
1.734482758620689680e+00 9.653057291666667927e-01 2.636954379463309897e-04
1.793103448275862100e+00 9.573322916666667792e-01 3.470581196836330907e-04
1.851724137931034520e+00 9.482447916666668641e-01 4.706077218090270477e-04
1.910344827586206939e+00 9.361833333333332563e-01 6.506923074736177710e-04
1.968965517241379359e+00 9.198723958333333561e-01 1.082656308636381192e-03
2.027586206896551779e+00 9.009489583333334384e-01 1.762618438409762787e-03
2.086206896551724199e+00 8.783718750000001352e-01 2.351772937136109836e-03
2.144827586206896619e+00 7.787588541666666808e-01 3.580440656592581011e-02
2.203448275862069039e+00 6.339500000000000135e-01 7.996811495363104205e-02
2.262068965517241459e+00 3.031526041666666726e-01 1.828749791449889583e-01
2.320689655172413879e+00 3.035098958333333763e-01 1.431653901541319884e-01
2.379310344827586299e+00 1.638744791666666700e-01 1.362059951893280496e-01
2.437931034482758719e+00 1.581927083333333484e-01 1.017705714916245646e-01
2.496551724137931139e+00 7.136927083333331756e-02 8.185480403183850728e-02
2.555172413793103559e+00 5.565208333333333118e-02 6.738599412854233417e-02
2.613793103448275978e+00 4.902447916666666239e-02 5.208068770362821176e-02
2.672413793103448398e+00 3.043385416666666635e-02 4.338793652308212817e-02
2.731034482758620818e+00 2.921510416666666526e-02 3.592032376707206959e-02
2.789655172413793238e+00 1.852656250000000310e-02 3.122098850833276637e-02
2.848275862068965658e+00 1.494270833333333388e-02 2.730937836892740125e-02
2.906896551724138078e+00 1.444218750000000016e-02 2.322751014764999622e-02
2.965517241379310498e+00 1.242968749999999976e-02 2.087761603431757471e-02
3.024137931034482918e+00 1.821770833333333575e-02 1.908684045072552710e-02
3.082758620689655338e+00 1.114166666666666777e-02 1.729783544282205432e-02
3.141379310344827758e+00 1.165052083333333564e-02 1.564909260179277867e-02
3.200000000000000178e+00 1.049010416666666841e-02 1.436871117026871508e-02
